ID,Description
1,"I need scanned hospital medical records converted into Excel. The records are in PDF format, and require extraction of: - Medical history and diagnosis - Treatment and medication details The total is over 200 pages. Ideal skills and experience: - Proficiency in Excel - Experience working with PDF data extraction - Attention to detail and accuracy"
2,I need an ATA member to certify a Spanish-English translation of legal documents (2000-words) Requirements: - ATA membership is mandatory - Certification required for legal documents - Standard formatting is acceptable Ideal Skills and Experience: - Proficiency in Spanish and English - Expertise in legal terminology and concepts - Experience with certified translations Please provide your rates and confirm ATA membership.
3,"I'm looking for an n8n expert to automate our product listing process on Shopify. Key Tasks: - Automate product details entry: title, description, price, stock, images, and tags. - Integrate n8n with Zoho Inventory, Salesforce, and HubSpot CRM for seamless data flow, with a focus on HubSpot CRM. - Ensure data accuracy and consistency across all listings. Ideal Skills: - Proficiency in n8n () - Experience with Shopify and the mentioned tools - Strong automation and integration skills - Attention to detail"
4,"I need a detailed service contract for consulting services. The contract should include: - Scope of Work: Clearly define the consulting services to be provided. - Payment Terms: Outline the payment structure, including amounts and deadlines. - Confidentiality Clauses: Ensure all sensitive information is protected. Ideal skills and experience: - Legal expertise in contract law - Experience drafting service contracts - Attention to detail and clarity in legal language Please provide samples of previous contracts and ensure compliance with relevant laws."
5,"I need a photo improved for an online newspaper article. The current image is too dark and requires more than simple color adjustment. The newspaper reporter says the lighting is too bad to publish. Requirements (maybe?) - Cut out the people and adjust their lighting separately - Apply natural lighting - Ensure the final image looks natural Ideal skills and experience: - Proficiency in photo editing software (e.g., Photoshop) - Experience with advanced lighting adjustments - Strong attention to detail and a good eye for natural-looking edits"
6,"I need a modern logo for my new podcast, ""Off the Record: The Real Talk."" Requirements: - Use brand colors: Dark Blue, White, Royal Blue, Black - Include only the podcast name in the design - Use sans-serif font style - incorporate Photo of Host Ideal Skills: - Experience in creating modern logos - Proficiency in working with specified color palettes - Strong typography skills, especially with sans-serif fonts Looking forward to your creative designs!"
7,"I'm seeking a talented graphic designer to create a modern logo for 'CheckMate Investigations'. The logo should incorporate a chess piece or magnifying as a central symbol and utilize a black and white color scheme. Requirements: - Modern design aesthetics - Incorporation of a chess piece or magnifying glass - Black and white color scheme or other professional colors - Think investigations, cutting edge, professional Ideal Skills and Experience: - Proven experience in logo design - Strong portfolio showcasing modern designs - Proficiency in monochromatic color schemes Please provide samples of previous work and a brief concept idea."
8,I need a modern logo for a multi-restaurant and grocery store application. Requirements: - Style: Modern - Include: Shopping cart - Color Palette: Pastel colors Ideal Skills and Experience: - Proven logo design expertise - Strong portfolio with modern designs - Proficiency in pastel color schemes - Ability to incorporate specific elements like shopping carts Please submit your portfolio with your bids.
9,"I'm seeking a skilled 3D modeler to create a figure for FDM 3D printing, similar in detail to a Funko Pop. Requirements: - Human-shaped character in a victory pose, stepping on a blob-shaped character. - Model should have smooth and simple textures. - Final output must be a 3MF colored file. Ideal Skills and Experience: - Proficiency in 3D modeling software - Experience in creating print-ready models - Attention to detail and ability to follow provided reference images"
10,I need a classic-style logo for a sticker. The design should feature both text and illustrations. The logo should convey elegance. Ideal skills and experience: - Putting things together for a garage door business -including 3 things. a picture for the business. phone number and email. - be simple
11,"I'm experiencing a ""400 Bad Request"" error on Gmail while logging in via a desktop browser. I've already tried clearing cache and cookies, disabling extensions, and using a different browser, but the issue persists. I'm looking for an experienced troubleshooter who can resolve this issue efficiently. Ideal skills and experience: - Expertise in browser and Gmail troubleshooting - Familiarity with handling error codes and requests - Problem-solving skills Please provide a step-by-step resolution or perform the necessary actions to fix this issue."
12,"I need help fixing the Location and Distance filters on my Bricks and JetEngine plugin integrated WordPress website using JetSmartFilters. Current Setup: - Listing Grid built with Bricks and JetEngine. - Several filters are working correctly (e.g., School Type, Fee Range). - Geo Search and Distance filter connected via Query Builder. - Google Maps API is functional. - Manually set center coordinates work fine and filtering the School posts (image 1 attached). Main Issue: - When a user inputs an address in the Geo Search, the internal center point does not update. - This results in no filtering based on the entered location. Requirements: - Ensure that when a user types and selects an address, the Listing Grid results update accordingly. - Fix the Location and Distance filters to affect ..."
13,"Project Title: Modify OpenBoard to Work Directly on Screen Without Screenshot or Overlay Description: I am using OpenBoard, and I would like to make a small but crucial modification to its code. Currently, when using the measuring tools (like ruler, compass, etc.), we have to take a screenshot or use a transparent overlay (calque) to make measurements directly on the screen. The goal: Modify the OpenBoard code so that the tools can be used directly on the desktop screen or any open window, without needing to capture the screen or use an overlay. It should function like a transparent layer or floating toolbar always on top, fully interactive and usable in real-time. Requirements: Experience in modifying open-source tools (preferably OpenBoard or similar). Ability to work with C++ and Q..."
14,"We are a fast-growing digital marketing agency working with multiple premium clients, and we’re looking for a highly skilled, creative, and reliable video editor to join us for the long term. Your primary role will be editing Instagram Reels and short-form videos with high-quality, visually stunning effects that capture attention, drive engagement, and elevate the brand image of our clients. What We’re Looking For: Proven experience in editing high-quality Reels/short-form videos. We will send reference video, like same we needed. Strong skills in using transitions, motion graphics, sound effects, color grading, and text overlays. Ability to maintain a consistent visual style that aligns with client branding. Creativity in storytelling and editing to retain viewer attenti..."
15,"I need a 6-page ethnography essay focused on cultural practices, specifically daily life and routines. Requirements: - Conduct an interview related to the cultural practice - Include 3-4 scholarly sources - Format in MLA style Ideal skills and experience: - Strong writing and research skills - Experience with ethnographic studies - Familiarity with MLA formatting"
16,"I'm seeking to rent an active Apple Developer account for a few days. My React Native Expo app is ready for iOS testing and deployment; I just need the account access. Requirements: - An active Apple Developer account - Short-term rental availability (a few days) I won't need help with configuration, testing, or deployment."
17,"I'm looking for a quick job to have images on our Wordpress site moved over to Wasabi and then have the images for from Wasabi instead of Wordpress. The idea is to reduce our hosting cost since it's cheaper to store it in Wasabi than with our hosting provider. It should also work moving forward so when I upload or use a picture in a new article, it will store the image in wasabi instead. could work with something like this:"
18,"I'm seeking a skilled video creator to produce informative and educational Facebook ad videos for my brand. Our products include Ghee, cold-pressed oils, and honey. The primary objective of these videos is brand awareness. Key Requirements: - Highlight key product features: - Health benefits - Natural ingredients - Traditional production methods - Focus on an informative and educational style - Understanding of the health food sector is a plus Ideal Skills and Experience: - Experience in creating Facebook ad videos - Strong storytelling skills - Knowledge of health food products and market - Video editing proficiency Please provide a portfolio showcasing similar work."
