ID,Description,Category_English
1,"اريد إعادة تصميم لموقع عقاري باستخدام figma.
تصميم عصري وحديث ومختلف عن الحالي.
التصميم يتضمن واجهة المستخدم ولوحة التحكم
رابط الموقع الحالي:
https://Iaqar.com.sa",Web Development
2,"لدي موقع إلكتروني جاهز وأملك ملفات الأكواد الخاصة به. أبحث عن شخص محترف لإجراء تطويرات وتحسينات على الموقع الحالي، مع تصميم نموذج أولي (Prototype) احترافي باستخدام Figma قبل تنفيذ التعديلات البرمجية.
المهام المطلوبة:
• تصميم نموذج أولي على Figma يعكس التعديلات المطلوبة ويُظهر تجربة المستخدم الجديدة
• تحسين تصميم الموقع ليكون متجاوباً (Responsive) مع جميع الأجهزة
• استخدام JavaScript لإضافة تأثيرات وتفاعلات ديناميكية مثل الرسوم المتحركة
• تحسين تجربة المستخدم (UX) والمظهر العام (UI)
• العمل على الأكواد الموجودة حالياً، وليس إنشاء مشروع جديد من الصفر
• تنظيم الكود وتسليمه بشكل مرتب وسهل الفهم في ملف منظم
المتطلبات:
• خبرة في Figma لتصميم واجهات المستخدم والنماذج الأولية
• إتقان HTML5, CSS3, JavaScript
• القدرة على قراءة وفهم كود مكتوب مسبقاً والتعديل علي",Web Development
3,"1. المواصفات العامة للموقع
•واجهة مستخدم (UI): سهلة الاستخدام، تدعم اللغتين (العربية والإنجليزية).
•تصميم متجاوب (Responsive Design): متوافق مع الجوال، التابلت، وأجهزة الكمبيوتر.
•نظام إدارة المحتوى (CMS): لإدارة المنتجات، الطلبات، والتصنيفات بسهولة.
•دعم تحسين محركات البحث (SEO): بنية روابط نظيفة، وصف للمنتجات، وسرعة تحميل جيدة.
2. الوظائف الأساسية للموقع
المنتجات
•إضافة منتجات مع صور متعددة.
•دعم المواصفات الفنية للهدايا (الوصف - بلد الصنع - ....)
•إمكانية البحث المتقدم حسب:
oنوع القطعه(المنشأ- الطراز - ).
إدارة المخزون
•تتبع الكميات.
•تنبيهات عند انخفاض الكمية.
•دعم المنتجات المنتهية / غير المتوفرة مؤقتًا.
البحث والتصفية
•فلترة المنتجات حسب:
oالسعر.
oالتوفر.
oتقييم العملاء.
oنوع القطعه
3. نظام الدفع
•الدفع عبر بوابات متعددة:
oبطاقات ائتمان (فيزا، ماستر كارد).
oApple Pay / STC Pay.
oتحويل بنكي.
oالدفع عند الاستلام (اختياري).
•تأمين بيانات الدفع باستخدام SSL وشهادات أمان.
4. أنظمة المستخدمين
•حساب عميل.
•حساب تاجر (للبائعين).
•لوحة تحكم مخصصة لكل نوع مستخدم.
•سجل الطلبات والفواتير.
•دعم تقييم المنتجات والبائعين.
6. لوحة التحكم (Admin Panel)
•إدارة المنتجات والتصنيفات.
•إدارة المستخدمين.
•إدارة الطلبات والشحن والدفع.
•تقارير المبيعات.
7. الأمان والخصوصية
•تشفير البيانات.
•صلاحيات متعددة للمستخدمين.
•نسخ احتياطي تلقائي.
•سياسة خصوصية واضحة.",Web Development
4,"بحث عن متخصص محترف في Odoo Community لاستكمال تنصيب وتهيئة البرنامج على مساحة سحابية (Cloud VPS أو Dedicated Server)، بحيث يمكن استخدام النظام لعدة شركات عبر قواعد بيانات منفصلة. الهدف هو إنشاء بيئة عمل جاهزة لتقديم خدمات Odoo لشركات مختلفة من خلال منصة واحدة.
المهام المطلوبة:
استكمال تنصيب Odoo 17 (Community Edition) على سيرفر يعمل بنظام Ubuntu.
تهيئة النظام ليكون قابلاً لإدارة عدة قواعد بيانات لشركات مختلفة.
ضبط إعدادات الوصول عبر الإنترنت (ربط النطاق، إعدادات DNS، تفعيل HTTPS باستخدام Let's Encrypt).
تثبيت وإعداد الوحدات الأساسية (Modules) مثل:
الفوترة
الحسابات
المبيعات
المشتريات
إدارة المستودعات
الموارد البشرية
تهيئة واجهة الدخول مع إمكانية إنشاء قواعد بيانات جديدة لكل عميل.
تفعيل خاصية إرسال الإيميلات من النظام.
نصائح أمنية لحماية النظام من الاختراق (إعداد الجدار الناري، تعطيل الوصول للجذر، تفعيل SSH Key بدل كلمة السر... إلخ).
توثيق كل الخطوات في ملف واضح PDF لتسليم المشروع.
المتطلبات:
خبرة مثبتة في تنصيب Odoo Community.
معرفة جيدة بإعداد السيرفرات السحابية وتهيئة البيئة الآمنة.
يفضل من لديه تجارب سابقة في إعداد بيئة متعددة العملاء على Odoo.
التزام بالوقت، وتقديم الدعم الفني الأولي بعد التسليم.
ملاحظات إضافية:
سيتم توفير السيرفر من DigitalOcean أو أي مزود آخر حسب الاتفاق.
المشروع خطوة أولى لمنصة تجارية لتقديم خدمات Odoo في السوق السعودي.",Web Development
5,"تطبيق ، طلبات متعددة متعدد البائعين
التطبيق متكامل (يدعم توصيل الطلبات، سيارات الأجرة، توصيل الطرود، إلخ
لوحة تحكم عربية
يعمل على الويب تطبيقات جوال (Android و iOS).
يقدم خدمات متعددة عند الطلب، مثل النقل والتوصيل وخدمات الصيانة المنزلية وغيرها
طلب تكسي توصيل مع خرائط تتبع الوقت الفعلي
دردشة مباشرة
سيارة نقل اثاث
توصيل متعدد
خدمة طلب من المطاعم
طلب من سوبرماركت
طلب من صيدلية
الخ",Web Development
6,"مطلوب متخصص لديه خبرة في مجالات الذكاء الاصطناعي، لتنفيذ مشروع تقني مميز يهدف إلى تطوير موقع إلكتروني لبيع العطور المركّبة، مع تكامل متقدّم لأدوات الذكاء الاصطناعي.
فكرة المشروع: إنشاء منصة إلكترونية لبيع العطور المركبة (حسب الطلب)، يتم فيها استخدام تقنيات الذكاء الاصطناعي لمحاورة العميل وفهم تفضيلاته الشخصية من خلال طرح مجموعة من الأسئلة الذكية (مثلاً: الروائح المفضلة، المناسبة التي يبحث عن عطر لها، المزاج، الأوقات المفضلة لاستخدام العطر، الخ...).
بناءً على إجابات العميل، يقوم النظام الذكي بتحليل البيانات واقتراح مجموعة من العطور المركبة التي تتناسب مع ذوقه بشكل شخصي، مع إمكانية تعديل الاقتراحات بشكل تفاعلي. بعد ذلك يمكن للعميل اختيار وشراء العطر مباشرة من الموقع.
المهام المطلوبة:
تصميم وتطوير الموقع الإلكتروني بواجهة جذابة وسهلة الاستخدام.
بناء نظام تفاعلي ذكي قادر على إجراء حوارات مع العملاء وتحليل اختياراته بلغات عدة.
معالجة اللغة الطبيعية لفهم تفضيلات العميل واقتراح العطور المناسبة.
ربط النظام بقاعدة بيانات تحتوي على مكونات العطور والخلطات الممكنة.
توفير خيارات الدفع، الطلب، والتوصيل ضمن الموقع.
المتطلبات الفنية:
خبرة في الذكاء الاصطناعي وتطبيقاته في التجارة الإلكترونية.",Web Development
7,تطبيق الكتروني عبارة عن مزاد الكتروني ومتجر عام وخدمات توصيل وفحص وصيانة وقائمة طلبات,Mobile Development
8,"مطلوب مبرمج لإضافة إطار لجميع صفحات ملفات PDF في Google Drive وإعادة رفعها بنفس التنظيم**
### وصف المشروع:
أحتاج إلى مبرمج محترف لإنجاز مشروع بسيط لكن مهم جدًا، يتضمن التعامل مع عدد كبير من ملفات PDF الموجودة في Google Drive.
**تفاصيل المهمة المطلوبة:**
1. جميع ملفات PDF موجودة لدي في مجلد على Google Drive (وقد يحتوي على مجلدات فرعية).
2. المطلوب:
- الدخول على هذا المجلد.
- المرور على جميع ملفات PDF (بما في ذلك الملفات داخل المجلدات الفرعية إن وجدت).
- تعديل كل ملف PDF بإضافة قالب إلى **جميع صفحات الملف**.
- حفظ الملف المعدل بنفس الاسم
- رفع جميع الملفات المعدلة إلى **مجلد جديد في Google Drive**، مع الحفاظ على نفس هيكل المجلدات والتنظيم الموجود في المجلد الأصلي.
### مواصفات الإطار المطلوب:
- لا يُغطّي النصوص أو التصميم الأصلي داخل الصفحات.
- لا يغير جودة أو حجم الملفات.
- القالب جاهز ومعد سلفا وجاهز للتركيب
---
### المواصفات التقنية:
- يفضل تنفيذ المهمة عبر **Google Colab** أو **Google Apps Script** أو Python مع Google Drive API.
- لا مانع من استخدام أي تقنية أخرى طالما تؤدي المطلوب بكفاءة.
- يجب تسليمي:
- رابط المجلد الجديد الذي يحتوي على الملفات المعدلة.
- نسخة من السكربت أو الأداة (في حال رغبت باستخدامها لاحقًا).
- شرح بسيط لطريقة التشغيل (فقط للاطلاع، لأن التنفيذ سيكون من طرفك بالكامل).
شروط التنفيذ:
- المطلوب أن يتم كل شيء من طرف المبرمج (أنا فقط أشارك روابط المجلدات).
- لا أريد تحميل أو تشغيل سكربتات بنفسي.
- يتم التنفيذ على حساب Google Drive الخاص بي، وسأوفر صلاحيات الوصول المؤقتة إذا لزم الأمر.
- يتم تسليم العمل بعد التأكد من معالجة جميع الملفات بنجاح.
### المخرجات النهائية:
- مجلد جديد في Google Drive يحتوي على جميع ملفات PDF المعدلة بإطار داخلي.
- الحفاظ على نفس أسماء الملفات، ونفس الهيكل والمجلدات الفرعية إن وُجدت.
- جودة عالية ودون فقدان أو تشويه للمحتوى الأصلي
- المدة: أقصى حد 4 إلى 5 أيام.",Software Engineering
9,"نبحث عن مختبر جودة (QA) محترف لكتابة وتنفيذ test cases لتطبيق جوال اسمه ""مرن""، وهو مخصص لإدارة التسجيل في النوادي الرياضية ومتابعة الأعضاء والمدربين.
يمكن الحصول على معلومات عن التطبيق من خلال الموقع التالي:
https://marensaudi.com/
---
المهام المطلوبة:
مراجعة وظائف التطبيق (UX + UI)
كتابة حالات اختبار مفصلة (test cases)
تنفيذ اختبار يدوي لكل حالة
توثيق النتائج واكتشاف الأخطاء
تسليم تقرير تفصيلي بالأخطاء والملاحظات
المتطلبات:
خبرة مثبتة في اختبار تطبيقات الجوال (iOS و Android)
معرفة بأساسيات تجربة المستخدم (UX)
استخدام أدوات التوثيق مثل TestRail، Google Sheets أو غيرها
يفضل خبرة سابقة في مشاريع مشابهة (نُظم تسجيل، حجوزات، إدارة أندية...)",Web Development
10,مطلوب مبرمج kotlin و laravel لتعديل على سورس كود لتطبيق تاكسي من موقع codecanyon,Web Development
11,انشاء سكريبت لاستخراج بيانات من موقع يلا كورة,Web Development
12,نظام erp يدعم عمليات البيع والشراء وانشاء نظام عمولات للمسوقين وكتالوج الكتروني,Software Engineering
13,"مشروع لعد الاشجار بأستخدام صور من القمر الصناعي ، مطلوب تدريب مودل على صور اشجار ثم عند أي صورة يتم اضافتها يعطي عدد الاشجار بناء على قاعدة البيانات، سيتم شرح المزيد للمستقل المختار.",Data Science
14,"نبحث عن مطور Backend مستقل (Freelancer) لتنفيذ مشروع جاهز من حيث الفكرة والتخطيط، وهو عبارة عن منصة إلكترونية ”، تربط بين الموردين، المشترين، وشركات الشحن، بفكرة مشابهة لمنصة “علي بابا”، لكن بنظام خاص بنا.
⸻
مواصفات المشروع:
•تسجيل دخول وتسجيل حسب نوع المستخدم (مشتري – بائع – شركة شحن – مدير نظام).
•إدارة الطلبات، العروض، المنتجات، والتفاوض بين الأطراف.
•ربط عمليات التوصيل مع شركات الشحن داخل المنصة.
•لوحات تحكم منفصلة لكل نوع مستخدم.
•قاعدة بيانات منظمة وقابلة للتوسيع.
•API نظيفة وقابلة للتكامل مستقبلاً مع تطبيق جوال.
⸻
المتطلبات:
•خبرة في تطوير الـ Backend باستخدام أحد الأطر مثل: Laravel / Node.js / Django.
•خبرة في تصميم قواعد البيانات (SQL / NoSQL).
•القدرة على تسليم المشروع خلال مدة محددة.
•يفضل وجود نماذج أعمال مشابهة.",Web Development
15,"السلام عليكم ورحمة الله وبركاته
محتاج مصمم css لموقع تبع سله ويكون مصمم صور ايضا للاقسام",Web Development
16,"أحتاج لعمل Dashboard لمتابعة تقدم الأعمال المشروع:
المشروع عبارة عن تركيب لكاميرات مراقبة في أحد الفنادق، و تركيب مستلزمات الشبكة و تشغيل النظام بالكامل و تقديم مستندات اغلاق المشروع
الشاشة الرئيسية تحتوي على صورة الفندق من الخارج و تعرض نسبة الانجاز في المشروع الكامل
يمكن اختيار طابق معين للدخول الى مخططه على شكل صورة و اضافة أيقونة كاميرا مكان الكاميرا و بجانبها الـ Tasks الخاصة بها على الشكل التالي:
1st Fix
2nd Fix
3rd Fix
Camera Tagging
Cable Tagging
Fluke Test Done?
Fine Tuning Done?
Camera Commissioned?
كل مهمة يتم تحديدها عن طريق Checkbox",Networking
